Ranking,Team,Country,Points Scored,1 year change,previous point scored,symbol change,,,,
2140,AL Adalh FC,Saudi Arabia,1248,41,1248,-,,,,
483,AL Ahed,Lebanon,1438,160,1403,+,,,,
345,Al Ahli,United Arab Emirates,1478,32,1492,-,,,,
1634,Al Ahli,Qatar,1286,5,1287,-,,,,
2015,Al Ahli Khartoum,Sudan,1255,0,1255,-,,,,
2672,Al Ahli SC Amman,Jordan,1193,8,1193,-,,,,
1509,Al Ahli Tripoli,Libya,1295,21,1295,-,,,,
2361,Al Ahli Wad Medani,Sudan,1233,38,1233,-,,,,
61,Al Ahly,Egypt,1683,15,1712,-,,,,
1878,Al Ahly Benghazi,Libya,1265,8,1265,-,,,,
2083,Al Ahly Merowe,Sudan,1252,0,1252,-,,,,
791,Al Ahly Shendi,Sudan,1376,19,1376,-,,,,
2144,Al Akhaa Al Ahli,Lebanon,1248,222,1262,-,,,,
2400,Al Amir,Sudan,1230,30,1230,-,,,,
2434,Al Ansar FC (Medina),Saudi Arabia,1226,29,1226,-,,,,
855,AL Ansar SC,Lebanon,1366,83,1353,+,,,,
2492,Al Asalah,Jordan,1221,30,1221,-,,,,
1537,Al Batin,Saudi Arabia,1292,24,1292,-,,,,
2717,Al Egtmaaey Tripoli,Lebanon,1179,4,1179,-,,,,
892,AL Ettifaq FC,Saudi Arabia,1361,108,1374,-,,,,
2112,Al Fallah Atbara FC,Sudan,1250,50,1250,-,,,,
780,Al Fateh FC,Saudi Arabia,1378,18,1372,+,,,,
1309,Al Feiha,Saudi Arabia,1313,212,1296,+,,,,
2688,Al Fujairah,United Arab Emirates,1189,7,1189,-,,,,
948,AL Gharafa,Qatar,1354,226,1385,-,,,,
2622,AL Hazem FC,Saudi Arabia,1204,113,1222,-,,,,
67,Al Hilal,Saudi Arabia,1663,19,1630,+,,,,
1920,Al Hilal Kadougli,Sudan,1262,6,1262,-,,,,
272,Al Hilal Omdurman,Sudan,1510,38,1525,-,,,,
2344,Al Hilal Port Sudan,Sudan,1234,41,1234,-,,,,
2592,Al Islah Bourg Shamaly,Lebanon,1209,18,1209,-,,,,
289,Al Ittihad,Saudi Arabia,1501,161,1446,+,,,,
2555,Al Ittihad,Sudan,1215,23,1215,-,,,,
2614,Al Ittihad Kalba,United Arab Emirates,1206,67,1193,+,,,,
835,Al Khartoum SC,Sudan,1369,14,1369,-,,,,
762,Al Masry,Egypt,1381,305,1445,-,,,,
2647,Al Mesaimeer,Qatar,1199,12,1199,-,,,,
1033,Al Mokawloon Al Arab,Egypt,1342,213,1369,-,,,,
2472,Al Mourada,Sudan,1223,26,1223,-,,,,
1898,Al Nahdha Dammam,Saudi Arabia,1264,4,1264,-,,,,
793,Al Nasr,United Arab Emirates,1376,110,1393,-,,,,
2419,Al Nasr FC,Egypt,1228,31,1228,-,,,,
195,Al Nassr,Saudi Arabia,1548,19,1535,+,,,,
1407,AL Qadisiyah FC,Saudi Arabia,1303,3,1303,-,,,,
2188,Al Qadsia,Kuwait,1245,44,1245,-,,,,
2146,Al Quwa Al Jawiya,Iraq,1248,131,1242,+,,,,
2579,Al Rabta Kosti,Sudan,1212,22,1212,-,,,,
1341,Al Raed,Saudi Arabia,1309,226,1333,-,,,,
1857,AL Safa,Lebanon,1267,149,1279,-,,,,
261,Al Shabab,Saudi Arabia,1514,130,1462,+,,,,
944,Al Shabab,United Arab Emirates,1354,15,1354,-,,,,
2465,Al Shabab Al Arabi Beirut,Lebanon,1224,26,1224,-,,,,
1991,Al Sharkeyah,Egypt,1257,3,1257,-,,,,
2611,Al Shimali,Sudan,1206,16,1206,-,,,,
1637,Al Shoalah,Saudi Arabia,1286,15,1286,-,,,,
2449,Al Shorta Al Qadarif,Sudan,1225,26,1225,-,,,,
2055,AL Shorta SC,Iraq,1253,0,1253,-,,,,
635,Al Taawon,Saudi Arabia,1403,50,1414,-,,,,
2461,AL Tadamon Sour,Lebanon,1224,103,1236,-,,,,
2414,Al Urooba Club,United Arab Emirates,1228,308,1250,-,,,,
433,Al Wahda,United Arab Emirates,1452,11,1453,-,,,,
1423,Al Wahda,Saudi Arabia,1301,1,1301,-,,,,
1337,Al Wasl,United Arab Emirates,1310,65,1303,+,,,,
638,Al-Ahli,Saudi Arabia,1402,140,1433,-,,,,
2206,Al-Ahli Atbara,Sudan,1244,39,1244,-,,,,
249,Al-Ain FC,United Arab Emirates,1520,62,1493,+,,,,
2037,Al-Ain FC,Saudi Arabia,1254,1,1254,-,,,,
1129,Al-Arabi Doha,Qatar,1332,138,1318,+,,,,
2754,Al-Baqa'a SC,Jordan,1156,66,1190,-,,,,
1751,Al-Bourj FC,Lebanon,1275,202,1260,+,,,,
2310,Al-Dhafra,United Arab Emirates,1237,46,1243,-,,,,
101,Al-Duhail SC,Qatar,1623,12,1602,+,,,,
822,Al-Faisaly FC Harmah,Saudi Arabia,1371,1,1369,+,,,,
1018,Al-Faisaly SC Amman,Jordan,1344,124,1331,+,,,,
2660,Al-Hikma,Lebanon,1195,10,1196,-,,,,
2159,Al-Hussein SC Irbid,Jordan,1247,387,1219,+,,,,
848,Al-Ittihad,Libya,1367,13,1367,-,,,,
1058,Al-Ittihad Al-Sakandary,Egypt,1340,66,1348,-,,,,
2396,Al-Jalil,Jordan,1230,143,1244,-,,,,
1135,Al-Jazeera Amman,Jordan,1331,240,1359,-,,,,
706,Al-Jazira,United Arab Emirates,1391,309,1459,-,,,,
1398,Al-Khaleej Club,Saudi Arabia,1303,4,1303,-,,,,
2561,Al-Kharitiyat,Qatar,1214,10,1216,-,,,,
2253,Al-Khor,Qatar,1241,244,1256,-,,,,
2212,Al-Markhiya Sports Club,Qatar,1244,42,1244,-,,,,
2598,Al-Mergheni,Sudan,1209,17,1209,-,,,,
329,Al-Merreikh,Sudan,1486,34,1500,-,,,,
2616,Al-Nil,Sudan,1206,13,1206,-,,,,
1771,Al-Orobah FC,Saudi Arabia,1273,2,1273,-,,,,
1276,Al-Ramtha SC,Jordan,1317,137,1302,+,,,,
601,Al-Rayyan,Qatar,1410,71,1395,+,,,,
149,Al-Sadd,Qatar,1578,19,1586,-,,,,
1652,Al-Sailiya,Qatar,1284,234,1302,-,,,,
1580,Al-Salt,Jordan,1289,124,1280,+,,,,
2674,Al-Sareeh SC,Jordan,1193,3,1196,-,,,,
2738,Al-Shaab,United Arab Emirates,1169,3,1169,-,,,,
2330,Al-Shahania S.C.,Qatar,1235,40,1235,-,,,,
2665,Al-Shamal SC,Qatar,1194,47,1185,+,,,,
1344,Al-Tai FC,Saudi Arabia,1309,97,1300,+,,,,
1595,Al-Wakra,Qatar,1288,332,1261,+,,,,
545,Al-Wehdat SC,Jordan,1425,47,1413,+,,,,
2562,Al-Yarmouk FC,Jordan,1214,23,1214,-,,,,
1619,Al-Zawraa SC,Iraq,1287,49,1284,+,,,,
2681,Ala'ab Damanhour,Egypt,1190,9,1190,-,,,,
2585,Alacranes del Norte,El Salvador,1210,20,1210,-,,,,
2002,Alamal Atbara,Sudan,1256,2,1256,-,,,,
1460,Alaniya,Russia,1299,27,1299,-,,,,
336,Alanyaspor,Turkey,1482,51,1463,+,,,,
1295,Albion F.C.,Uruguay,1315,334,1350,-,,,,
1481,Albirex Niigata,Japan,1298,23,1298,-,,,,
466,Aldosivi,Argentina,1443,53,1430,+,,,,
1501,Alianza,Panama,1296,507,1256,+,,,,
1313,Alianza AtlÃ©tico,Peru,1312,423,1276,+,,,,
328,Alianza FC,El Salvador,1486,6,1483,+,,,,
495,Alianza Lima,Peru,1435,507,1347,+,,,,
691,Alianza Petrolera,Colombia,1394,964,1285,+,,,,
1658,Alianza Universidad Huanuco,Peru,1283,580,1337,-,,,,
2240,Alkali Nassara,Niger,1242,39,1242,-,,,,
2664,Alki,Cyprus,1194,10,1194,-,,,,
1503,Alki Oroklinis,Cyprus,1296,20,1296,-,,,,
555,All Boys,Argentina,1422,3,1422,-,,,,
411,AlmerÃ­a,Spain,1459,11,1459,-,,,,
2518,Alpha United,Guyana,1219,27,1219,-,,,,
1277,Altay S.K.,Turkey,1317,316,1350,-,,,,
1488,Aluminij,Slovenia,1297,722,1376,-,,,,
1118,Aluminium Arak,Iran,1334,8,1332,+,,,,
1462,Aluminium Hormozgan,Iran,1299,27,1299,-,,,,
457,Always Ready,Bolivia,1446,32,1436,+,,,,
839,AmaZulu FC,South Africa,1369,25,1363,+,,,,
132,AmÃ©rica,Mexico,1590,29,1610,-,,,,
573,AmÃ©rica de Cali,Colombia,1419,240,1484,-,,,,
212,AmÃ©rica Mineiro,Brazil,1537,264,1440,+,,,,
1356,Amicale FC,Vanuatu,1308,4,1308,-,,,,
2012,Amidaus Professionals FC,Ghana,1255,1,1255,-,,,,
541,Amiens SC,France,1426,9,1426,-,,,,
599,Amkar Perm',Russia,1411,5,1411,-,,,,
2543,Anagennisi Deryneia,Cyprus,1216,24,1216,-,,,,
2747,Andijon,Uzbekistan,1163,2,1160,+,,,,
393,Angers,France,1464,6,1459,+,,,,
1355,AnkaragÃ¼cÃ¼,Turkey,1308,4,1308,-,,,,
2039,Ankaran Hrvatini,Slovenia,1254,1,1254,-,,,,
1149,Annaba,Algeria,1330,4,1330,-,,,,
279,Anorthosis,Cyprus,1505,4,1503,+,,,,
570,Antigua Guatemala,Guatemala,1419,237,1371,+,,,,
1636,AOK Kerkyra,Greece,1286,15,1286,-,,,,
895,Apejes de Mfou,Cameroon,1360,55,1367,-,,,,
2179,APEP,Cyprus,1246,41,1246,-,,,,
227,APOEL Nicosia,Cyprus,1530,16,1537,-,,,,
134,Apollon Limassol,Cyprus,1587,28,1607,-,,,,
2444,Apollon Smyrnis,Greece,1225,516,1261,-,,,,
2064,APOP / Kinyras,Cyprus,1253,1,1253,-,,,,
1164,Ãrabe Unido,Panama,1328,282,1360,-,,,,
1482,Aragua FC,Venezuela,1298,86,1292,+,,,,
2130,Ararat-Armenia FC,Armenia,1249,46,1249,-,,,,
2224,Araz PFK,Azerbaijan,1243,40,1243,-,,,,
2031,Arcahaie FC,Haiti,1254,0,1254,-,,,,
2728,Ards,Northern Ireland,1174,6,1174,-,,,,
821,Arema,Indonesia,1371,184,1346,+,,,,
226,Argentinos Juniors,Argentina,1530,80,1572,-,,,,
1120,ArgeÈ™ PiteÈ™ti,Romania,1333,7,1333,-,,,,
881,Aris Limassol,Cyprus,1362,967,1267,+,,,,
236,Aris Thessaloniki FC,Greece,1526,94,1486,+,,,,
1014,Arles,France,1344,11,1344,-,,,,
2277,Armed Forces,Singapore,1240,38,1240,-,,,,
1828,Army United,Thailand,1269,12,1269,-,,,,
1353,Arnett Gardens,Jamaica,1308,16,1306,+,,,,
908,Arouca,Portugal,1359,165,1382,-,,,,
2734,Arrows,India,1171,5,1171,-,,,,
22,Arsenal,England,1793,3,1806,-,,,,
577,Arsenal de SarandÃ­,Argentina,1418,313,1514,-,,,,
804,Arsenal Tula,Russia,1374,52,1379,-,,,,
2602,Art Municipal Jalapa,Nicaragua,1208,28,1216,-,,,,
1346,AS AÃ¯n M'lila,Algeria,1308,209,1331,-,,,,
2336,AS Avenir de Tombouctou,Mali,1235,39,1235,-,,,,
1992,AS Bamako,Mali,1257,3,1257,-,,,,
2491,AS Eliwidj FC,Mali,1221,30,1221,-,,,,
872,AS Fortuna,Cameroon,1364,33,1358,+,,,,
2135,AS Kasserine,Tunisia,1249,42,1249,-,,,,
1729,AS Korofina,Mali,1277,0,1277,-,,,,
2525,AS Lossi,New Caledonia,1218,27,1218,-,,,,
1119,AS Magenta,New Caledonia,1334,7,1334,-,,,,
1775,AS Matelots,Cameroon,1272,2,1272,-,,,,
2184,AS Nianan,Mali,1246,43,1246,-,,,,
740,AS Nika,Congo DR,1385,19,1385,-,,,,
2108,AS Nyuki de Butembo,Denmark,1250,0,1250,-,,,,
2087,AS Police,Mali,1251,2,1251,-,,,,
2042,AS Puma GeneraleÅˆa,Costa Rica,1254,1,1254,-,,,,
591,AS RÃ©al Bamako,Mali,1415,7,1415,-,,,,
1109,AS Rejiche,Tunisia,1335,5,1333,+,,,,
1870,AS SalÃ©,Morocco,1266,9,1266,-,,,,
1145,AS Slimane,Tunisia,1330,18,1332,-,,,,
1252,AS Tanda,Ivory Coast,1319,2,1319,-,,,,
1975,AS-FAN,Niger,1259,2,1259,-,,,,
493,Asante Kotoko,Ghana,1436,22,1430,+,,,,
287,ASD Spezia Calcio 2008,Italy,1502,69,1533,-,,,,
368,ASEC Mimosas,Ivory Coast,1471,95,1443,+,,,,
1290,ASGNN,Niger,1315,5,1315,-,,,,
856,Ashanti Gold FC,Ghana,1366,116,1382,-,,,,
1561,ASI D'Abengourou,Ivory Coast,1290,165,1303,-,,,,
2290,ASM Oran,Algeria,1239,44,1239,-,,,,
860,ASO Chlef,Algeria,1366,318,1327,+,,,,
1378,Asoc. Dep. y Rec. Jicaral Sercoba,Costa Rica,1305,339,1342,-,,,,
1066,AsociaciÃ³n Deportiva Tarma (ADT),Peru,1340,105,1350,-,,,,
1469,Assyriska,Sweden,1298,29,1298,-,,,,
639,Asteras Tripolis,Greece,1402,243,1460,-,,,,
77,Aston Villa,England,1652,2,1646,+,,,,
679,Astra PloieÅŸti,Romania,1395,8,1395,-,,,,
649,Astres FC de Douala,Cameroon,1401,452,1335,+,,,,
2355,Aswan FC,Egypt,1233,350,1256,-,,,,
2186,Asyut Petrol,Egypt,1246,44,1246,-,,,,
36,Atalanta,Italy,1726,22,1841,-,,,,
2608,Atar Club,Mali,1207,15,1207,-,,,,
1822,Atenas,Uruguay,1269,11,1269,-,,,,
1809,Atheltic Club Port of Spain,Trinidad and Tobago,1270,8,1270,-,,,,
52,Athletic Bilbao,Spain,1694,25,1645,+,,,,
1871,Athlone Town,Ireland,1266,9,1266,-,,,,
715,Atlanta United FC,United States,1390,118,1412,-,,,,
1198,Atlante,Mexico,1325,7,1325,-,,,,
240,Atlas,Mexico,1525,341,1415,+,,,,
1911,AtlÃ©tico Balboa,El Salvador,1263,5,1263,-,,,,
2278,AtlÃ©tico ChiriquÃ­,Panama,1240,173,1228,+,,,,
1430,AtlÃ©tico Choloma,Honduras,1301,2,1301,-,,,,
1808,AtlÃ©tico de Kolkata,India,1270,8,1270,-,,,,
2201,AtlÃ©tico do Namibe,Angola,1245,40,1245,-,,,,
2484,AtlÃ©tico El VigÃ­a,Venezuela,1222,31,1222,-,,,,
103,AtlÃ©tico Goianiense,Brazil,1620,33,1580,+,,,,
1668,AtlÃ©tico Huila,Colombia,1283,639,1344,-,,,,
10,AtlÃ©tico Madrid,Spain,1852,1,1872,-,,,,
2581,AtlÃ©tico Marte,El Salvador,1211,14,1212,-,,,,
33,AtlÃ©tico Mineiro,Brazil,1750,26,1686,+,,,,
181,AtlÃ©tico Nacional,Colombia,1556,118,1497,+,,,,
309,Atletico Petro Luanda,Angola,1492,247,1421,+,,,,
97,AtlÃ©tico PR,Brazil,1626,28,1655,-,,,,
561,AtlÃ©tico Rafaela,Argentina,1420,4,1420,-,,,,
634,AtlÃ©tico San Luis,Mexico,1403,517,1329,+,,,,
2452,Atletico Socopo,Venezuela,1225,26,1225,-,,,,
1868,AtlÃ©tico Sport AviaÃ§Ã£o,Angola,1266,9,1266,-,,,,
571,AtlÃ©tico TucumÃ¡n,Argentina,1419,330,1522,-,,,,
1874,AtlÃ©tico Venezuela,Venezuela,1265,150,1255,+,,,,
2559,AtlÃ©tico VeragÃ¼ense,Panama,1215,22,1215,-,,,,
884,Atromitos,Greece,1362,270,1408,-,,,,
1665,Ã…tvidaberg,Sweden,1283,11,1283,-,,,,
1518,Atyrau,Kazakhstan,1294,51,1292,+,,,,
383,Aucas,Ecuador,1468,165,1422,+,,,,
141,Auckland City,New Zealand,1582,6,1582,-,,,,
603,Audax Italiano La Florida,Chile,1409,38,1419,-,,,,
161,Augsburg,Germany,1569,101,1515,+,,,,
1756,Aurora,Bolivia,1274,30,1271,+,,,,
1210,Austin FC,Uruguay,1324,269,1353,-,,,,
2583,Austria KÃ¤rnten,Austria,1211,19,1211,-,,,,
550,Austria Wien,Austria,1424,181,1384,+,,,,
406,Auxerre,France,1461,11,1461,-,,,,
749,AvaÃ­ FC,Brazil,1383,194,1352,+,,,,
1316,Avenir de La Marsa,Tunisia,1312,5,1312,-,,,,
1402,Avion Fc Du Nkam,Cameroon,1303,247,1286,+,,,,
1202,Avispa Fukuoka,Japan,1325,604,1270,+,,,,
1023,Ayacucho FC,Peru,1343,579,1447,-,,,,
2724,Ayia Napa,Cyprus,1175,5,1175,-,,,,
91,AZ Alkmaar,Netherlands,1633,41,1707,-,,,,
1458,AZAL PFC Baku,Azerbaijan,1299,26,1299,-,,,,
2137,Azam,Tanzania,1249,42,1249,-,,,,
1787,Ba,Fiji,1272,8,1272,-,,,,
2343,Babeti ya Sika,Congo DR,1234,39,1234,-,,,,
192,Bahia,Brazil,1548,7,1548,-,,,,
1373,Bakaridjan de BarouÃ©li,Mali,1306,6,1306,-,,,,
1153,BakÄ±,Azerbaijan,1330,6,1330,-,,,,
442,Bala Town FC,Wales,1451,49,1435,+,,,,
806,Bali United,Indonesia,1373,297,1334,+,,,,
1205,BalÄ±kesirspor,Turkey,1325,7,1325,-,,,,
2696,Ballinamallard United,Northern Ireland,1187,8,1187,-,,,,
1909,Ballymena United,Northern Ireland,1263,85,1268,-,,,,
1282,BalmazÃºjvÃ¡ros,Hungary,1316,6,1316,-,,,,
765,Bamboutos,Cameroon,1381,62,1368,+,,,,
455,Banfield,Argentina,1447,112,1480,-,,,,
2710,Banga Gargzdai,Lithuania,1181,14,1177,+,,,,
502,Bangkok United,Thailand,1434,24,1428,+,,,,
510,Bangor City,Wales,1432,5,1432,-,,,,
319,BanÃ­k Ostrava,Czech Republic,1488,118,1450,+,,,,
1093,Baniyas,United Arab Emirates,1337,207,1360,-,,,,
2431,Bantous,Congo DR,1227,29,1227,-,,,,
2393,Bantu Rovers,Zimbabwe,1230,32,1230,-,,,,
2633,Barbican FC,Jamaica,1203,10,1203,-,,,,
11,Barcelona,Spain,1851,4,1889,-,,,,
170,Barcelona SC,Ecuador,1565,98,1651,-,,,,
667,Bari,Italy,1398,4,1398,-,,,,
1872,Barito Putera,Indonesia,1266,67,1270,-,,,,
1861,Barnechea,Chile,1267,16,1267,-,,,,
1884,Baroka FC,South Africa,1265,318,1292,-,,,,
435,Barracas Central,Argentina,1452,1,1450,+,,,,
1533,Barrio MÃ©xico,Costa Rica,1292,30,1292,-,,,,
1546,Barry Town United FC,Wales,1292,233,1313,-,,,,
92,BATE Borisov,Belarus,1632,13,1608,+,,,,
1279,BayamÃ³n FC,Puerto Rico,1316,4,1316,-,,,,
1497,Bayelsa United,Nigeria,1296,19,1296,-,,,,
18,Bayer Leverkusen,Germany,1802,37,1695,+,,,,
4,Bayern MÃ¼nchen,Germany,1955,3,2052,-,,,,
2683,BBCU FC,Thailand,1190,8,1190,-,,,,
1396,Bechem United,Ghana,1303,335,1277,+,,,,
480,Beijing Guoan,China PR,1439,259,1532,-,,,,
2316,Beijing Renhe,China PR,1237,40,1237,-,,,,
1021,Beira-Mar,Portugal,1343,10,1343,-,,,,
845,Beitar Jerusalem FC,Israel,1367,227,1408,-,,,,
2626,Bekaa SC,Lebanon,1203,10,1203,-,,,,
1733,Bekescsaba,Hungary,1276,1,1276,-,,,,
1762,BeÅ‚chatÃ³w,Poland,1274,0,1274,-,,,,
1611,BelÃ©n Siglo XXI,Costa Rica,1287,20,1287,-,,,,
932,Belenenses,Portugal,1356,373,1419,-,,,,
359,Belgrano,Argentina,1474,2,1474,-,,,,
1136,Bella Vista,Uruguay,1331,0,1331,-,,,,
2312,Bellinzona,Switzerland,1237,42,1237,-,,,,
1742,Belshina Bobruisk,Belarus,1275,83,1268,+,,,,
949,Ben Guerdane,Tunisia,1354,156,1373,-,,,,
1288,Bendel Insurance,Nigeria,1315,6,1315,-,,,,
607,Benevento,Italy,1408,10,1408,-,,,,
17,Benfica,Portugal,1803,5,1774,+,,,,
987,Benfica Luanda,Angola,1349,4,1349,-,,,,
959,Bengaluru FC,India,1353,19,1353,-,,,,
1894,BÃ©ni-Khalled,Tunisia,1264,3,1264,-,,,,
2726,Berane,Montenegro,1174,6,1174,-,,,,
1952,Berekum Arsenal,Ghana,1260,5,1260,-,,,,
1082,Berekum Chelsea FC,Ghana,1339,122,1350,-,,,,
474,Beroe,Bulgaria,1441,102,1467,-,,,,
253,BeÅŸiktaÅŸ,Turkey,1517,154,1616,-,,,,
2762,BFC Daugavpils,Latvia,1142,1,1143,-,,,,
350,BG Pathum United,Thailand,1477,136,1438,+,,,,
927,Bhayangkara FC,Indonesia,1357,184,1334,+,,,,
2027,Bibiani Gold Stars F.C.,Ghana,1255,80,1250,+,,,,
443,Bidvest Wits,South Africa,1451,12,1451,-,,,,
2210,Binh Duong,Vietnam,1244,41,1244,-,,,,
294,Birmingham City,England,1498,3,1498,-,,,,
404,BK HÃ¤cken,Sweden,1462,11,1462,-,,,,
2587,Black Leopards,South Africa,1209,13,1212,-,,,,
1806,Black Mambas,Zimbabwe,1270,9,1270,-,,,,
1840,Black Rhinos,Zimbabwe,1268,216,1253,+,,,,
413,Blackburn Rovers F.C.,England,1459,12,1459,-,,,,
378,Blackpool,England,1469,8,1469,-,,,,
1939,Blessing FC,Congo DR,1261,91,1255,+,,,,
1101,Bloemfontein Celtic,South Africa,1336,52,1341,-,,,,
1187,Blooming,Bolivia,1326,190,1347,-,,,,
1208,Bnei Sakhnin,Israel,1324,570,1272,+,,,,
1012,Bnei Yehuda Tel Aviv FC,Israel,1345,9,1345,-,,,,
485,Boavista,Portugal,1438,11,1440,-,,,,
83,Boca Juniors,Argentina,1649,41,1717,-,,,,
165,Bochum,Germany,1567,467,1405,+,,,,
151,BodÃ¸ / Glimt,Norway,1574,75,1529,+,,,,
553,Bohemian FC,Ireland,1423,89,1443,-,,,,
728,Bohemians 1905,Czech Republic,1388,238,1435,-,,,,
182,BolÃ­var,Bolivia,1555,119,1496,+,,,,
160,Bologna,Italy,1569,28,1548,+,,,,
1486,Bolognesi,Peru,1297,23,1297,-,,,,
356,Bolton Wanderers,England,1475,2,1475,-,,,,
2526,Bontang PKT,Indonesia,1218,27,1218,-,,,,
726,Borac Banja Luka,Bosnia and Herzegovina,1388,29,1379,+,,,,
2521,Borac ÄŒaÄak,Serbia,1218,27,1218,-,,,,
562,Bordeaux,France,1420,248,1492,-,,,,
23,Borussia Dortmund,Germany,1791,11,1856,-,,,,
